"Endpoint Name","Site","Last Logged In User","OS Username","Group","Tags","Domain","Account","Console Visible IP","Agent Version","Serial Number","Subscribed On","Device Type","Model Name","OS","OS Version","Architecture","Memory","CPU Count","CPU Type","Core Count","Management Connectivity","Network Status","Update Status","Scan Status","Last Reported IP","Pending Uninstall","Disk Encryption","Agent UUID","Agent ID","Customer Identifier","Console Migration Status","Operational State","Operational State Expiration","Last Reboot Date","Installer Type","Reboot Required due to Threat","User Action Required","Remote Profiling State","Remote Profiling Expiration","Storage Type","Storage Name","Cloud Account","Cloud Location","Cloud Network","Cloud Image","Cloud Tags","Cloud Instance Size","Cloud Instance ID","Cloud Security Group","Cluster Name","K8s Type","K8s Version","Agent Namespace","Agent Pod Name","K8s Node Name","K8s Node Labels","ECS Type","ECS Version","ECS Cluster Name","ECS Task Arn","ECS Task Availability Zone","ECS Service Name","ECS Service Arn","ECS Task Definition Family","ECS Task Definition Revision","ECS Task Definition Arn","Is Uninstalled","Decommissioned at","Missing Permissions"
"SPRDAPRPGRU15","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 22, 2024 08:47:10 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.5 (Plow) 5.14.0-503.15.1.el9_5.x86_64","64 bit","7 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Oct 22, 2024 09:04:41 PM )","192.168.0.25","No","Off","003a05bc-bdd3-7fdd-6547-cbbef80bce72",2066963334244958964,"N/A","N/A","Not disabled","N/A","Dec 05, 2024 03:22:50 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPRPGRU14","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Oct 22, 2024 08:46:31 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.5 (Plow) 5.14.0-503.15.1.el9_5.x86_64","64 bit","7 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Online","Connected","Up to date","Completed( Oct 22, 2024 09:00:27 PM )","192.168.0.26","No","Off","0044e9ca-ad5f-dc6c-33a5-96c1a5d218f0",2066963006166413504,"N/A","N/A","Not disabled","N/A","Dec 05, 2024 01:26:09 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPRPGRU14","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 17, 2024 02:11:37 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.4 (Plow) 5.14.0-427.40.1.el9_4.x86_64","64 bit","7 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",4,"Offline","Connected","Up to date","Aborted( Oct 17, 2024 02:17:30 PM )","192.168.0.61","No","Off","ffd19249-fae8-4a30-34e3-b30cac120a7f",2063140371575231858,"N/A","N/A","Not disabled","N/A","Oct 22, 2024 07:52:47 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPIHSGRU03","Default site","N/A","root","SERVIDORES LINUX","None","gru.local","GRUPO INVEPAR","200.174.72.155","24.1.1.16","N/A","Oct 16, 2024 07:27:21 PM","server","VMware, Inc. VMware20,1","Linux","Linux,Red Hat Enterprise release 9.5 (Plow) 5.14.0-503.22.1.el9_5.x86_64","64 bit","8 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",2,"Online","Connected","Up to date","Completed( Oct 16, 2024 07:41:09 PM )","192.168.0.55","No","Off","ff77b23f-3f2d-f1f4-a6f2-999d8ae3d98d",2062574505608184816,"N/A","N/A","Not disabled","N/A","Jan 29, 2025 02:08:11 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SHOMAPIHSGRU02","Default site","N/A","root","SERVIDORES LINUX","None","gru.local","GRUPO INVEPAR","177.130.117.155","24.1.1.16","N/A","Oct 16, 2024 07:07:01 PM","server","VMware, Inc. VMware7,1","Linux","Linux,Red Hat Enterprise release 9.5 (Plow) 5.14.0-503.21.1.el9_5.x86_64","64 bit","4 GB",1,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",1,"Online","Connected","Up to date","Completed( Oct 16, 2024 07:52:40 PM )","172.31.52.53","No","Off","ff581c26-cdb7-6b02-d886-e4dc39c324b7",2062564273013068878,"N/A","N/A","Not disabled","N/A","Jan 21, 2025 03:20:56 AM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDAPGLPIGRU02","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","177.130.117.155","23.4.2.14","N/A","Oct 09, 2024 06:30:48 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.4 LTS 5.15.0-107-generic","64 bit","16 GB",8,"Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Oct 09, 2024 07:38:38 PM )","172.31.50.82","No","Off","e879e58d-403d-81e3-5546-d2196d2b34ff",2057472609871746437,"N/A","N/A","Not disabled","N/A","May 17, 2024 11:29:37 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdbdzabgru02","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : D-Menor","unknown","GRUPO INVEPAR","177.130.117.155","23.1.1.7","N/A","Oct 09, 2024 06:20:20 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Red Hat Enterprise release 8.10 (Ootpa) 4.18.0-305.12.1.el8_4.x86_64","64 bit","31 GB",4,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",8,"Online","Connected","Up to date","Completed( Oct 09, 2024 08:03:31 PM )","172.16.253.93","No","Off","98f98b22-d935-0b95-73e4-e3c58410de1d",2057467347721253864,"N/A","N/A","Not disabled","N/A","Feb 03, 2024 10:06:54 PM","RPM","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDBDOTRSGRU01.GRU.LOCAL","Default site","N/A","root","SERVIDORES BANCO DE DADOS","None","unknown","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Sep 27, 2024 03:12:06 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-196-generic","64 bit","27 GB",2,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",8,"Online","Connected","Up to date","Aborted( Sep 27, 2024 03:53:53 PM )","172.31.52.16","No","Off","f97fa568-85ae-2e0e-aa2a-6a40bf775767",2048675292084967529,"N/A","N/A","Not disabled","N/A","Sep 30, 2024 01:45:07 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"SPRDBDOTRSGRU01.GRU.LOCAL","Default site","N/A","root","SERVIDORES BANCO DE DADOS","None","unknown","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Sep 27, 2024 03:11:24 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-200-generic","64 bit","27 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Completed( Sep 27, 2024 04:22:44 PM )","172.31.49.16","No","Off","f9776b74-5667-65d6-0743-60cc7e8e3ebe",2048674946792989001,"N/A","N/A","Not disabled","N/A","Dec 01, 2024 02:47:59 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdotrsgru01","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : C-Maior","unknown","GRUPO INVEPAR","200.174.72.155","23.2.2.4","N/A","Sep 27, 2024 02:13:28 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-196-generic","64 bit","23 GB",2,"Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz",8,"Online","Connected","Up to date","Aborted( Sep 27, 2024 02:17:52 PM )","172.31.52.49","No","Off","f955d934-4f7d-ed62-aa46-654db3e2819a",2048645787663971776,"N/A","N/A","Not disabled","N/A","Sep 27, 2024 06:50:34 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"sprdotrsgru01","Default site","N/A","root","SERVIDORES LINUX","ACN : INFRA CRITICA, Impacto : C-Maior","gru.local","GRUPO INVEPAR","177.130.117.155","23.2.2.4","N/A","Sep 27, 2024 02:13:17 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 20.04.6 LTS 5.4.0-200-generic","64 bit","23 GB",2,"Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz",8,"Online","Connected","Up to date","Aborted( Sep 27, 2024 02:18:03 PM )","172.31.49.49","No","Off","f95008de-e3e8-0c1b-20fc-a3057f82b15a",2048645693552153885,"N/A","N/A","Not disabled","N/A","Dec 01, 2024 03:04:20 AM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"shomapprmgru01","Default site","N/A","root","SERVIDORES LINUX","None","unknown","GRUPO INVEPAR","200.174.72.155","23.4.2.14","N/A","Sep 05, 2024 01:39:21 PM","server","VMware, Inc. VMware Virtual Platform","Linux","Linux,Ubuntu 22.04.2 LTS 5.15.0-79-generic","64 bit","4 GB",2,"Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz",2,"Online","Connected","Out of date","Completed( Sep 05, 2024 03:05:18 PM )","10.36.52.134","No","Off","9172529f-6524-9da4-aebd-f9a5b568177f",2032683550486107017,"N/A","N/A","Not disabled","N/A","Jan 03, 2024 07:35:13 PM","DEB","No","No","disabled","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
