"AV Assets","26 Sep 2025 12:03PM GMT-0300","857"
"Delfia","Alameda Tocantins, 350","Barueri","None","06455-020","Brazil"
"Evandro Santiago","defa6es","CSAM customers,All Roles Customers,CSAM customers,All Roles Customers"
"Asset Id","Name","IP Addresses","Modules","OS","Last Logged-In User","Last Inventory","Activity","NetBIOS Name","Sources","Tags"
"26642838","SPRDAPLOGSGRU01.GRU.LOCAL","172.31.49.221","VM,SCA,GAV","Red Hat Enterprise Linux Server 7.9","sysgru","16 Jun 2025 11:40PM GMT-0300","Inventory Scan Complete","","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"182246107","sdqbdoragru02","fe80:0:0:0:250:56ff:fe9d:1602,10.1.1.138,172.31.52.107,172.31.52.109,fe80:0:0:0:250:56ff:fe9d:2c8a,172.31.52.110,172.31.52.111,169.254.189.226,172.31.52.112","VM,SCA,GAV","Red Hat Enterprise Linux Server 6.5","root","26 Sep 2025 03:21AM GMT-0300","Manifest Downloaded","","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"204123175","shombdcmsgru01.gru.local","172.31.52.33","VM,GAV","Windows 2016/2019/10","'-","'-","Scanned","SHOMBDCMSGRU01","","AG_GRU_Homologação"
"23923043","SPRDAPDCLGRU02.gru.local","172.31.49.188,fe80:0:0:0:5d85:47ad:ec68:9d52","VM,SCA,GAV","Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19377","gru.local\adm-albert.souza","26 Sep 2025 08:11AM GMT-0300","Inventory Scan Complete","SPRDAPDCLGRU02","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"23923069","SPRDAPENVGRU02.gru.local","172.31.49.206,169.254.19.116","VM,SCA,GAV","Microsoft Windows Server 2008 R2 Enterprise 6.1.7601 64-bit Service Pack 1 Build 7601 UBR 24544","administrator","26 Sep 2025 10:12AM GMT-0300","Inventory Scan Complete","SPRDAPENVGRU02","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"150728936","1950237-DC1.sd1950237.carpark","172.31.48.21","VM,SCA,GAV","Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 6529","SD1950237\administrator","25 Sep 2025 10:13PM GMT-0300","Inventory Scan Complete","1950237-DC1","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"20701473","SHOMADGRU01.gru.local","172.31.52.24","VM,SCA,GAV","Microsoft Windows Server 2012 Standard 6.2.9200 64-bit N/A Build 9200 UBR 24523","gru.local\adm-thiago.pereira","08 Apr 2025 01:31AM GMT-0300","Manifest Downloaded","SHOMADGRU01","Cloud Agent","Cloud Agent, GRU-GERAL, GRU-CAT-Servidores"
"193162140","nossohubh.gru.com.br","10.36.52.243","VM,GAV","VMware ESX Server","'-","'-","Scanned","","","AG_GRU_Homologação"
"100034006","SPRDAPLGGRU01.gru.local","172.31.49.110","VM,SCA,GAV","Microsoft Windows Server 2016 Datacenter 10.0.14393 64-bit N/A Build 14393 UBR 7070","GRU\sistemas.gru","25 Sep 2025 09:18PM GMT-0300","Inventory Scan Complete","SPRDAPLGGRU01","Cloud Agent","Cloud Agent, GRU_ACN_3-Maior, GRU-GERAL, GRU_CAT_ACN-LG"
"193162147","10.36.52.190","10.36.52.190","VM,GAV","VMware ESX Server","'-","'-","Scanned","","","AG_GRU_Homologação"
